OBJECTID,Date,Time,Location,City,Latitude,Longitude,Direction,Type,Lanes_Bloc,Involved,Tweet,Source
662,2018-09-12 00:00:00,2:37 PM,COMMONWEALTH SHOPWISE,Quezon City,14.676778,121.082556,WB,VEHICULAR ACCIDENT,1,CAR AND PEDESTRIAN,MMDA ALERT: Vehicular accident at Commonwealth Shopwise WB involving car and pedestrian as of 2:37 PM. 1 lane occup… https://t.co/VpHPQ11ckE,https://twitter.com/mmda/status/1039766448288100352
663,2018-09-12 00:00:00,2:49 PM,KATIPUNAN MIRIAM,Quezon City,14.644291,121.074626,SB,STALLED VAN DUE TO MECHANICAL PROBLEM,1,VAN,MMDA ALERT: Stalled van due to mechanical problem at Katipunan Miriam SB as of 2:49 PM. 1 lane occupied. MMDA enforcer on site. #MMDA,https://twitter.com/mmda/status/1039769798383624192
664,2018-09-12 00:00:00,5:47 PM,EDSA MAIN AVE.,Quezon City,14.61366,121.053801,SB,VEHICULAR ACCIDENT,1,2 BUSES,MMDA ALERT: Vehicular accident at EDSA Main ave. SB involving 2 buses as of 5:47 PM. 1 lane occupied. MMDA on site. #mmda,https://twitter.com/mmda/status/1039819141165674498
665,2018-09-12 00:00:00,5:58 PM,EDSA SHAW BLVD. SERVICE ROAD,Mandaluyong,14.581153,121.053565,SB,VEHICULAR ACCIDENT,1,VAN AND BUS,MMDA ALERT: Vehicular accident at EDSA Shaw Blvd. service road SB involving van and bus as of 5:58 PM. 1 lane occup… https://t.co/wmRTW0tRqw,https://twitter.com/mmda/status/1039820243076407297
666,2018-09-12 00:00:00,6:17 PM,AURORA BLVD. SM CENTERPOINT,San Juan,14.605104,121.018165,EB,VEHICULAR ACCIDENT,1,SUV AND CAR,MMDA ALERT: Vehicular accident at Aurora Blvd SM Centerpoint EB involving SUV and car as of 6:17 PM. 1 lane occupie… https://t.co/MIPL3Fsi9M,https://twitter.com/mmda/status/1039825426086936576
667,2018-09-12 00:00:00,7:45 PM,EDSA ORTIGAS FLYOVER,Mandaluyong,14.586681,121.056314,SB,STALLED CAR DUE TO FLAT TIRE,1,CAR,MMDA ALERT: Stalled car due to flat tire at EDSA Ortigas flyover SB as of 7:45 PM. 1 lane occupied. MMDA on site. #mmda,https://twitter.com/mmda/status/1039846772095348736
668,2018-09-12 00:00:00,9:40 PM,EDSA MEGAMALL LOADING BAY,Mandaluyong,14.585174,121.055809,NB,VEHICULAR ACCIDENT,1,2 BUSES,MMDA ALERT: Vehicular accident at EDSA Megamall Loading bay NB involving 2 buses as of 9:40 PM. 1 lane occupied. MMDA on site. #mmda,https://twitter.com/mmda/status/1039873554454466563
669,2018-09-12 00:00:00,12:58 AM,ROXAS BLVD. FLYOVER,Pasay City,14.53706,120.992495,SB,MULTIPLE COLLISION,2,2 BUSES AND TRUCK,MMDA ALERT: Multiple collision at Roxas Blvd. F/O SB involving 2 buses and truck as of 12:58 AM. 2 lanes occupied. MMDA on site. #mmda,https://twitter.com/mmda/status/1039923047661096960
670,2018-09-12 00:00:00,7:17 AM,ELLIPTICAL ROAD NORTH AVE.,Quezon City,14.652094,121.046419,None,STALLED VAN DUE TO MECHANICAL PROBLEM,1,VAN,MMDA ALERT: Stalled van due to mechanical problem at Elliptical before North Ave. as of 7:17 AM. 1 lane occupied. M… https://t.co/GXd1eSm0Zx,https://twitter.com/mmda/status/1040018930604027904
671,2018-09-12 00:00:00,7:19 AM,EDSA AURORA INTERSECTION,Quezon City,14.621564,121.050149,SB,VEHICULAR ACCIDENT,1,2 CARS,MMDA ALERT: Vehicular accident at EDSA Aurora intersection SB involving 2 cars as of 7:19 AM. 1 lane occupied MMDA on site. #mmda,https://twitter.com/mmda/status/1040019432515358722
